Iteration,Train_loss,Valid_loss,Current_accuracy,Current_norm_ED
[1/300000],6.92349,6.82799,0.000,0.01
[2/300000],6.77215,6.76369,0.000,0.00
[3/300000],6.59871,6.61200,0.000,0.06
[4/300000],6.35806,6.43129,0.000,0.04
[5/300000],6.12123,6.26312,0.000,0.04
[6/300000],5.83386,5.87469,0.000,0.06
[7/300000],5.54273,5.52532,0.000,0.05
[8/300000],5.23105,5.11665,0.000,0.15
[9/300000],4.86825,4.82298,0.000,0.15
[10/300000],4.60862,4.56367,0.000,0.17
[11/300000],4.61859,4.39968,0.000,0.05
[12/300000],4.49746,4.44125,0.000,0.16
[13/300000],4.27741,4.32524,0.000,0.16
[14/300000],4.06010,4.15062,3.008,0.30
[15/300000],4.09042,3.88548,0.000,0.18
[16/300000],4.00132,4.03441,0.752,0.21
[17/300000],3.90864,3.81594,0.000,0.11
[18/300000],3.73046,4.08319,0.000,0.23
[19/300000],3.85566,3.75744,0.000,0.06
[20/300000],3.89087,3.67529,0.000,0.23
[21/300000],3.60759,3.81077,0.000,0.17
[22/300000],3.62794,3.56123,0.000,0.07
[23/300000],3.74212,3.78573,0.000,0.13
[24/300000],3.39729,3.50104,0.000,0.17
[25/300000],3.41129,3.60194,0.000,0.25
[26/300000],3.35789,3.98933,0.000,0.16
[27/300000],3.31855,3.91561,0.000,0.19
[28/300000],3.17729,3.33440,0.000,0.10
[29/300000],3.35357,3.39016,0.000,0.17
[30/300000],3.37748,3.42774,0.000,0.07
[31/300000],3.48817,3.39074,0.000,0.30
[32/300000],3.31608,3.51880,0.000,0.27
[33/300000],2.95664,3.21787,0.000,0.18
[34/300000],3.00621,3.38729,0.000,0.32
[35/300000],3.23818,3.25849,0.000,0.15
[36/300000],3.34188,3.45329,0.000,0.30
[37/300000],3.22075,3.09434,2.256,0.25
[38/300000],3.09730,3.16689,0.000,0.23
[39/300000],3.20149,2.99119,0.000,0.33
[40/300000],2.95187,2.96829,0.752,0.27
[41/300000],3.00019,3.41920,0.000,0.23
[42/300000],2.76166,2.93918,0.000,0.26
[43/300000],3.05721,3.02941,0.000,0.23
[44/300000],2.93595,3.13986,0.000,0.21
[45/300000],3.32069,3.03712,0.000,0.13
[46/300000],3.21095,3.02711,0.000,0.30
[47/300000],2.81640,3.07220,0.000,0.21
[48/300000],2.77863,2.90039,0.000,0.22
[49/300000],2.67805,3.35044,0.000,0.18
[50/300000],2.89262,2.80396,0.000,0.20
[51/300000],2.88512,2.96077,0.000,0.34
[52/300000],2.36824,2.83044,1.504,0.23
[53/300000],3.00184,2.91516,0.000,0.30
[54/300000],2.78549,3.31778,0.000,0.21
[55/300000],2.85788,2.98712,0.000,0.24
[56/300000],2.75445,2.96936,3.759,0.30
[57/300000],2.61431,3.24917,0.000,0.33
[58/300000],2.93543,2.99830,14.286,0.32
[59/300000],2.99531,3.08229,0.000,0.20
[60/300000],2.74842,2.84418,0.000,0.09
[61/300000],2.72297,2.81849,3.759,0.29
[62/300000],2.78941,2.70864,14.286,0.29
[63/300000],2.75825,2.51409,14.286,0.33
[64/300000],2.77608,2.65351,3.759,0.33
[65/300000],3.14319,2.60131,6.767,0.30
[66/300000],2.78637,2.70971,0.000,0.37
[67/300000],2.64729,2.74278,14.286,0.38
[68/300000],2.66111,2.70258,12.782,0.39
[69/300000],2.61734,2.63010,14.286,0.37
[70/300000],2.39763,2.55923,8.271,0.36
[71/300000],2.57434,2.67085,1.504,0.21
[72/300000],2.58240,2.93636,3.759,0.32
[73/300000],2.78112,2.67039,0.000,0.34
[74/300000],2.66804,2.61246,3.759,0.37
[75/300000],2.60401,2.72563,0.000,0.36
[76/300000],2.47438,2.57984,0.000,0.20
[77/300000],2.60115,2.56115,3.759,0.29
[78/300000],2.74681,2.78843,6.015,0.25
[79/300000],2.61704,2.75398,0.000,0.24
[80/300000],2.65066,2.68214,12.030,0.33
[81/300000],2.52580,2.52142,0.000,0.33
[82/300000],2.42846,2.39171,7.519,0.28
[83/300000],2.43150,2.37001,0.000,0.29
[84/300000],2.45289,2.52275,14.286,0.35
[85/300000],2.76918,2.56819,14.286,0.36
[86/300000],2.46982,3.48044,0.000,0.21
[87/300000],2.44287,2.84323,0.000,0.17
[88/300000],2.58568,2.80626,3.759,0.25
[89/300000],2.50099,2.50367,14.286,0.28
[90/300000],2.38291,2.61986,14.286,0.32
[91/300000],1.83143,2.72561,14.286,0.42
[92/300000],2.34521,2.36553,14.286,0.37
[93/300000],2.45571,2.37199,14.286,0.38
[94/300000],2.38061,2.51913,13.534,0.35
[95/300000],2.64732,2.65690,14.286,0.35
[96/300000],2.71170,3.13660,14.286,0.37
[97/300000],2.50023,2.76589,13.534,0.34
[98/300000],2.18604,2.85185,14.286,0.38
[99/300000],2.45477,2.78554,14.286,0.38
[100/300000],2.26994,2.45281,14.286,0.37
[101/300000],2.38624,2.35160,17.293,0.37
[102/300000],2.29218,2.24853,14.286,0.33
[103/300000],2.04896,2.41595,3.759,0.34
[104/300000],2.12333,2.36419,3.008,0.30
[105/300000],2.29975,2.27026,14.286,0.31
[106/300000],2.34513,2.30869,17.293,0.43
[107/300000],2.12386,2.24501,0.752,0.36
[108/300000],2.09495,3.24254,3.759,0.35
[109/300000],3.03358,2.61895,3.759,0.30
[110/300000],2.25652,2.40363,4.511,0.36
[111/300000],2.18962,2.44220,14.286,0.43
[112/300000],2.13840,2.23798,16.541,0.42
[113/300000],2.14387,2.37017,0.000,0.32
[114/300000],2.38003,2.23609,14.286,0.44
[115/300000],2.23393,2.15439,16.541,0.44
[116/300000],2.24874,2.24250,18.045,0.46
[117/300000],2.55653,2.12735,18.045,0.44
[118/300000],2.09375,2.09152,18.045,0.49
[119/300000],2.12226,2.05550,18.045,0.48
[120/300000],2.08987,2.38654,0.000,0.33
[121/300000],2.37458,2.38942,3.759,0.36
[122/300000],2.18060,2.47009,0.000,0.23
[123/300000],2.70002,2.32219,13.534,0.35
[124/300000],2.20082,2.20333,13.534,0.47
[125/300000],1.98873,2.01891,19.549,0.50
[126/300000],2.37073,2.87886,0.000,0.15
[127/300000],2.46058,2.22732,17.293,0.47
[128/300000],2.04276,2.04781,18.797,0.50
[129/300000],2.26963,2.06346,21.805,0.54
[130/300000],1.65745,2.25839,11.278,0.42
[131/300000],2.06833,2.12837,5.263,0.51
[132/300000],1.94092,2.06400,6.015,0.43
[133/300000],1.99675,2.28746,18.797,0.51
[134/300000],2.14221,2.36924,3.008,0.25
[135/300000],2.13957,2.31377,3.759,0.40
[136/300000],2.20077,2.13599,15.038,0.45
[137/300000],2.15356,2.14063,18.797,0.48
[138/300000],2.08272,2.04295,17.293,0.48
[139/300000],1.95263,2.11108,18.045,0.49
[140/300000],2.14690,2.44131,0.000,0.37
[141/300000],2.27515,2.55279,17.293,0.48
[142/300000],2.09007,2.15614,8.271,0.49
[143/300000],2.45534,3.15807,3.759,0.33
[144/300000],1.99369,2.47485,5.263,0.39
[145/300000],2.08157,2.15121,16.541,0.49
[146/300000],2.19879,2.32210,11.278,0.48
[147/300000],1.99044,1.97529,10.526,0.52
[148/300000],1.66392,2.32203,3.759,0.42
[149/300000],1.91010,2.09627,21.053,0.46
[150/300000],2.00073,2.06321,16.541,0.49
[151/300000],1.95696,1.90191,12.030,0.42
[152/300000],1.60301,2.17813,3.759,0.40
[153/300000],2.14529,1.97814,18.045,0.50
[154/300000],2.19539,2.11285,18.797,0.51
[155/300000],2.13197,1.92273,33.835,0.60
[156/300000],1.68861,2.01510,24.060,0.54
[157/300000],1.73480,2.05336,3.759,0.51
[158/300000],2.08270,2.06643,17.293,0.47
[159/300000],1.92158,2.13060,3.759,0.52
[160/300000],1.96144,1.97952,17.293,0.50
[161/300000],1.71998,1.95489,17.293,0.51
[162/300000],1.76588,1.86980,24.060,0.58
[163/300000],1.62452,1.88100,18.045,0.58
[164/300000],1.92410,1.96561,12.030,0.55
[165/300000],2.04763,1.99687,3.759,0.47
[166/300000],1.88705,1.88639,6.015,0.37
[167/300000],1.72570,1.90862,18.045,0.51
[168/300000],2.31237,1.80786,25.564,0.62
[169/300000],1.99235,1.68912,21.053,0.53
[170/300000],1.70662,1.73475,21.805,0.62
[171/300000],1.48758,1.94970,24.812,0.56
[172/300000],1.71973,1.81595,10.526,0.56
[173/300000],1.76548,2.08994,3.759,0.51
[174/300000],2.12602,1.80747,22.556,0.53
[175/300000],1.68868,1.71651,24.812,0.61
[176/300000],1.36369,1.75927,24.812,0.54
[177/300000],1.84755,1.66737,27.068,0.60
[178/300000],1.43149,1.84491,27.820,0.66
[179/300000],2.12880,2.01768,23.308,0.56
[180/300000],2.22591,2.34841,18.045,0.56
[181/300000],2.00032,1.99020,25.564,0.57
[182/300000],1.62895,2.18988,5.263,0.41
[183/300000],1.73735,2.15487,1.504,0.39
[184/300000],1.65083,1.86042,17.293,0.56
[185/300000],1.52064,1.71976,30.075,0.61
[186/300000],1.54306,1.67600,18.045,0.64
[187/300000],1.87696,1.58289,35.338,0.68
[188/300000],1.46429,1.63432,37.594,0.68
[189/300000],1.66885,1.45840,38.346,0.71
[190/300000],1.54294,1.53355,37.594,0.73
[191/300000],1.79596,1.66745,27.068,0.60
[192/300000],1.57098,2.39793,14.286,0.41
[193/300000],1.87424,2.35669,0.000,0.31
[194/300000],1.77738,1.71222,25.564,0.66
[195/300000],0.96222,1.65226,33.083,0.61
[196/300000],1.68448,1.57300,38.346,0.73
[197/300000],1.57696,1.58241,39.098,0.74
[198/300000],1.81779,1.54818,33.835,0.75
[199/300000],1.63240,1.62003,35.338,0.67
[200/300000],1.67389,1.59029,28.571,0.66
[201/300000],1.75930,1.63587,17.293,0.61
[202/300000],1.41308,1.52726,33.835,0.65
[203/300000],1.37144,1.73935,18.797,0.60
[204/300000],1.53892,1.62046,23.308,0.66
[205/300000],1.55864,1.60431,35.338,0.68
[206/300000],1.46014,1.63071,38.346,0.75
[207/300000],1.24246,1.95596,18.045,0.57
[208/300000],2.01919,2.25457,3.759,0.49
[209/300000],1.66160,1.89079,2.256,0.51
[210/300000],1.74816,1.89201,3.759,0.55
[211/300000],1.86248,1.49848,29.323,0.71
[212/300000],1.62114,1.77030,23.308,0.65
[213/300000],2.45057,1.75035,34.586,0.65
[214/300000],1.41748,1.39646,33.835,0.69
[215/300000],1.32000,1.41643,39.850,0.71
[216/300000],1.43337,1.63984,22.556,0.66
[217/300000],1.46200,1.65374,23.308,0.64
[218/300000],1.56106,1.49830,36.090,0.72
[219/300000],1.39693,1.67540,30.827,0.61
[220/300000],1.45743,1.52450,30.827,0.67
[221/300000],1.98906,2.00436,18.045,0.54
[222/300000],1.53408,1.86290,21.805,0.57
[223/300000],1.65227,1.77525,20.301,0.65
[224/300000],1.52011,1.82661,25.564,0.67
[225/300000],1.65827,1.59505,55.639,0.74
[226/300000],1.45348,1.66304,38.346,0.71
[227/300000],1.70979,1.31287,58.647,0.79
[228/300000],1.43358,1.22716,45.113,0.78
[229/300000],1.17762,1.24513,42.857,0.77
[230/300000],1.29945,1.36964,38.346,0.73
[231/300000],1.47390,1.42705,39.850,0.77
[232/300000],1.52920,1.60986,21.805,0.68
[233/300000],1.37232,1.24700,45.113,0.79
[234/300000],1.82067,1.45993,30.075,0.71
[235/300000],1.47646,1.58541,23.308,0.67
[236/300000],1.24833,1.41058,9.023,0.62
[237/300000],1.42397,1.31634,45.865,0.80
[238/300000],1.27232,1.19194,62.406,0.82
[239/300000],1.24546,1.32594,36.842,0.78
[240/300000],1.26187,1.72903,6.015,0.58
[241/300000],1.56242,1.74014,9.023,0.68
[242/300000],1.54255,1.59031,48.872,0.72
[243/300000],1.50399,1.47611,21.805,0.72
[244/300000],1.59942,1.30142,63.910,0.82
[245/300000],1.30419,1.32644,55.639,0.83
[246/300000],1.11896,1.18109,65.414,0.80
[247/300000],1.58302,1.32472,57.895,0.77
[248/300000],1.08021,1.34284,50.376,0.77
[249/300000],1.20988,1.37019,55.639,0.79
[250/300000],1.07491,1.62880,23.308,0.71
[251/300000],1.66925,1.37885,49.624,0.79
[252/300000],1.16264,1.35756,45.113,0.80
[253/300000],1.15215,1.15162,61.654,0.83
[254/300000],1.30274,1.50269,36.842,0.75
[255/300000],1.63126,1.15550,58.647,0.81
[256/300000],1.19498,1.27872,57.895,0.82
[257/300000],1.22434,1.24843,64.662,0.85
[258/300000],1.19419,1.29897,64.662,0.84
[259/300000],1.25880,1.34820,42.857,0.78
[260/300000],1.55506,1.54862,56.391,0.80
[261/300000],1.15122,1.30990,28.571,0.74
