sentences,label
안녕하십니까 2조 fitbit에 대해 발표를 맡게 된 김재현입니다.,1
"간단하게 목차를 보시면 기업 소개, 환경적인 요인의 영향, 그에 따른 해결책 순으로 발표를 진행해보도록 하겠습니다.",1
"먼저, Fitbit이라는 기업에 대해서 생소하실 분들이 많으실 것 같으니 fitbit에 대한 간략한 기업 소개부터 해보겠습니다.",0
Fitbit의 기업 미션은 위에 나와 있듯이 사람들의 fitness를 증진시키고 모두가 건강하고 활동적으로 운동을 할 수 있도록 유도를 하는 것으로 써져 있습니다.,1
"이러한 미션에 따라 스마트 밴드인 fitbit밴드를 출시하고, 이를 통해 현재, 심박수, 수면 상태를 측정하는 등 fitbit 소비자들을 운동을 스마트하게 할 수 있도록 유도를 하였습니다.",1
이러한 제품을 생산하는 Fitbit은 미시적인 환경 요인들로 인하여 천당과 지옥을 오고 갔습니다.,0
먼저 소비자들의 선호도가 fitbit의 성장에 영향을 끼쳤습니다.,1
"이와 같이 표에서 나와 있듯이 well-being의 열풍과 건강을 쉽게 증진시키는 기계의 등장을 기대하는 소비자들의 기대를 fitbit이 충족시켜줌으로써, fitbit은 2011~14년도까지 전체 수익이 50배 이상 성장을 하고, 웨어러블 시장 점유율도 2016년 기준 26%로 동종 업계 1위를 선점하는 등 초기 웨어러블 시장에서 Stars의 위치에서 선풍을 일으켰습니다.",1
"하지만, 애플, 삼성등이 웨어러블을 출시함에 따라 경쟁사들이 증가하여 앞에서 보시는 것과 같이 2018년 시장점유율이 3.7%에 떨어지는 등 추락을 거듭 이어나가고 있습니다.",1
"이러한 상황에서 fitbit이 시장에서 어떠한 포지션을 취해야 할지를 보면, 위의 표를 보시는 것과 같이, 웨어러블 시장자체는 아직 성장 가능성이 많은 시장으로, fitbit이 시장에 남아 경쟁을 지속해야 한다고 결론을 내렸습니다.",1
이러한 경쟁에 참여하기 위해서 Fitbit은 시장 지향적인 전략을 세워야 한다고 결론을 내렸습니다.,1
"Fitbit은 경쟁사들에 비해서 가격이 높고, 기능이 우월하지 않고 최근에는 스마트 와치를 출시하기는 했지만 대부분 상품이 fitness tracking의 기능만을 지닌다는 단점을 지녔습니다.",0
"이와 보시는 것처럼, 사람들은 웨어러블을 통해서 다양한 기능을 수행하기를 기대하고 있습니다.",1
이제 fitness tracker를 하나의 제품으로서 기대를 하는 것이 아니라 하나의 기능으로서 기대를 하고 있는 것입니다.,0
"따라서, Fitbit이 애플이나 삼성처럼 지금 당장 다양한 기능을 추가하지 못하겠지만, 소비자들이 원하는 기술 중 현실가능한 일부분을 반영하여서 기능을 자사 커뮤니티를 통해 추가하여 고객들의 만족도를 일부분 높이는 시장 지향적인 전략을 취해야할 것입니다.",1
"이와 더불어, Fitbit은 기존에 자신들이 가지고 있는 자사커뮤니티를 활성화시켜야합니다.",1
"Fitbit이 다른 fitness tracker에 비해서 가진 장점 중 하나가 Fitbit을 사용자들의 커뮤니티가 잘 조성이 되어있다는 것인데, 이를 보다 활성화시켜 Fitbit을 통한 다이어트 사례를 올리도록 유도를 하여, 스토리텔링 마케팅을 실행을 한다면 브랜드 이미지가 보다 높아질 것이라고 보았습니다.",1
"예를 들어, 서브웨이 같은 경우에는 스토리텔링 중 일환으로 서브웨이만 먹고 다이어트를 성공했다는 사례를 올림으로서 subway가 다른 타사에 비해서 건강식이라는 브랜드를 잘 구축하였습니다.",0
이와 같이 Fitbit을 통한 다이어트 성공사례를 스토리텔링 마케팅을 통해 커뮤니티에 올린다면 fitbit이 기존에 하고 있던 fitness tracker로서의 역할도 충실히 잘 하고 있다는 브랜드의 이미지를 만들 수 있을 것입니다.,1
"안녕하세요,",0
"공포의 수준과 유형에 따른 금연광고의 태도변화 분석에 대해 발표를 하게 된 국제학부 이원영, 사회학과 이재혁, 주소영, 이한입니다.",1
목차는 다음과 같습니다.,1
1. 문제제기 우리 생활에서 모든 사람들은 흡연이 건강에 해롭다는 것을 알고 있지만 여전히 많은 사람들이 흡연을 하고 있기 때문에 다양한 금연 공익 광고가 나오고 있습니다.,0
"금연공익광고는 공포소구의 수단을 사용해 금연이라는 주제를 대중에게 전달하는 경우가 많은데요,",1
예를 들어 보건 복지부의 2015년 금연 광고에는 흡연은 폐암이라는 광고 문구가 있습니다.,1
"이 광고는 사람들에게 흡연의 결과를 분명하게 알려주지만, 이전보다 높은 수준의 공포방법을 활용하였기 때문에 ‘볼수록 무섭다.’ ‘당장 금연을 권해야 겠다’ 등의 반응이 나타났습니다.",0
"또한 공포수위가 과도하기에 일부 흡연자들에게 모욕감, 거부감 등을 줄 수도 있다는 의견이 나오기도 했습니다.",1
"그러나 이러한 논란에도 불구하고 2015년 금연상담 전화 현황을 보았을 때 1월에는 연초 효과로 인해 1만 903건이었던 금연상담 전화는 점차 감소하는 추세였지만, 이 광고로 인해 7월 이후 다시 3377건, 9월에는 9242건으로 다시 증가한 것을 볼 수 있었습니다.",0
또한 지속적인 광고 효과로 인해 12월에는 1만426건 등으로 7월 대비 3배 이상 증가했습니다.,1
"그렇기 때문에 저희는 이 결과에 따라 금연 공익광고가 금연 의지를 촉진시킬 수 있다고 판단했고, 그렇다면 금연공익광고의 공포 수준과 유형에 따라 보는 사람들의 태도에는 어떤 변화가 있을까에 대한 의문이 생겨 연구를 진행하게 되었습니다.",1
2. 이론적 배경 먼저 태도와 태도변화입니다.,1
태도는 사람들이 대상에 대하여 지니고 있는 마음의 지향을 의미합니다.,1
"‘사회심리학 편람 초판’에는 태도를, 태도 대상과 상황과 관련된 소지자의 반응에 직접적이거나 역동적인 영향력을 주는 심적이고, 생리적인 준비상태로서, 경험을 통해 형성된 것이라고 정의합니다.",0
사람들은 주로 자신의 행동과 태도의 일관성을 지니려고 하는 동기가 있기 때문에 행동에 걸맞게 태도를 갖추어 갑니다.,0
이러한 태도의 변화인 태도변화에 대한 주제 중 하나에는 정서를 이용한 설득이 있습니다.,1
"저희가 이번에 주제로 다루는 공포소구에 의한 태도변화를 설명하기 위해, 먼저 공포, 공포유형, 공포소구에 대해 소개하겠습니다.",1
"공포는 언어성과 행동성 등 다양한 방식을 포함하여, 각종 공포의 정보에 따라 우리의 기억과 태도에 긍정적, 또는 부정적, 장기적, 또는 단기적 영향을 미칩니다.",1
공포유형은 크게 신체적 위협과 사회적 위협으로 나뉩니다.,0
신체적 위협은 설득하는 메시지에 응하지 않을 경우 발생할 수 있는 개인의 신체적 위협을 강조한 공포유형입니다.,1
"메시지 처방에 불응하는 것에 대한 결과로서 전형적으로 초래되는 신체적 위해를 사실적으로 가정하는 것 뿐만 아니라, 감정이 베어있는 생생한 묘사에 의해 설득하는 방법입니다.",0
"사회적 위협은 개인에게 중요한 다른 사람이나 집단에 의한 외면, 무시, 소외 등의 사회적 부인의 위협을 강조하는 방법입니다.",1
"공포소구모델에는 여러가지가 있지만, 그중 가장 대표적인 것에는 공포동인 모델이 있습니다.",1
"공포동인모델은 공포가 동인과 단서 기능을 가지고 있다고 보며, 동인으로서의 공포는 메시지 수용, 순응의 기능을 가지고, 단서로서의 공포는, 메시지 수용을 방해하는 회피경향을 유도하여 태도변화의 가능성을 줄인다고 주장합니다.",1
다음은 공포감을 이용한 설득에 대해 책에서 설명한 내용입니다.,1
"Dabbs와 Leventhal은 각 공포수준에 따라 세가지 단계를 설정하고, 공포수준이 높을수록 더 많은 비율의 태도 변화가 이루어진다는 것을 가정하여 연구를 수행했습니다.",1
"Rogers, 그리고 Taylor와 Sheppers는 심한 수준의 공포는 특정 경우에만 태도변화를 유발한다는 것을 발견하였고, 이외의 경우에 사람들은 공포에 대해 위협을 느껴 이에 대해 자기방어적 주장을 하거나, 자신에게는 해당이 없다는 논리를 전개한다고 밝혔습니다.",1
"국내에서 이루어진 연구에서는 공포감, 혐오감 등을 이용한 설득이 효과를 거두려면, 공포정도가 지나쳐 사람들의 방어기제를 작동시키면 안된다고 주장했습니다.",1
3. 선행연구 다음은 저희 발표 주제와 관련한 선행연구에 대해 설명하겠습니다.,1
첫번째 선행연구입니다.,1
"이 연구의 배경 및 목적은 금연 캠페인이 금연소구 효과에 미치는 개인적, 사회적 요인의 영향력을 연구했습니다.",1
"분노, 사회규범, 자기 효능감, 반응 효능감이라는 네가지 요소에 대해서 공포가 금연 광고 태도에 미치는 영향력을 분석하는 것에 연구 목적을 두었습니다.",1
"연구 방법은 공익광고협의회의 금연광고를 기준으로 설정되었으며, 흡연자 230명을 대상으로 온라인 설문조사를 실시했습니다.",1
"연구결과, 금연광고에 대한 공포와 반응 효능감이 높아질수록 광고 태도에 양(+)의 영향을, 분노가 높아질수록 광고 태도에 음의 영향을 미치는 것으로 나타났습니다.",1
공포가 광고 태도에 미치는 영향에서 분노의 조절 효과는 반응 효능감에 따라 다르게 나타났습니다.,1
"반응 효능감이 높은 수준에서 분노가 공포에 광고 태도에 미치는 영향을 조절하는 것으로 나타났으며, 반면 반응 효능감이 낮을 때, 분노가 공포가 광고 태도에 미치는 영향력을 조절하지 못하는 것으로 나타났습니다.",1
"또한, 공포와 분노가 광고 태도에 미치는 영향이 자기 효능감과 사회 규범에 따라 다르게 나타났습니다.",1
"두번째 선행연구에서는 금연캠페인에 ‘위선유도’라는 새로운 형식을 활용하여 광고가 흡연자의 광고태도, 금연태도, 금연의향 등에 미치는 효과를 살펴보고, 이를 공포소구 광고와 비교하여 분석하였습니다.",0
"위선유도란, 사람들에게 특정 사안에 대해 지지하는 태도를 확인하고, 해당사안에 위반하는 행동을 했다는 사실을 상기시켜 인지부조화를 유도하는 방식입니다.",1
이러한 인지부조화로 인한 심리적 불편함은 태도나 행동의 변화를 통해 해소시킬 수 있습니다.,1
