context,nouns
"1989년 2월 15일 여의도 농민 폭력 시위를 주도한 혐의(폭력행위등처벌에관한법률위반)으로 지명수배되었다. 1989년 3월 12일 서울지방검찰청 공안부는 임종석의 사전구속영장을 발부받았다. 같은 해 6월 30일 평양축전에 임수경을 대표로 파견하여 국가보안법위반 혐의가 추가되었다. 경찰은 12월 18일~20일 사이 서울 경희대학교에서 임종석이 성명 발표를 추진하고 있다는 첩보를 입수했고, 12월 18일 오전 7시 40분 경 가스총과 전자봉으로 무장한 특공조 및 대공과 직원 12명 등 22명의 사복 경찰을 승용차 8대에 나누어 경희대학교에 투입했다. 1989년 12월 18일 오전 8시 15분 경 서울청량리경찰서는 호위 학생 5명과 함께 경희대학교 학생회관 건물 계단을 내려오는 임종석을 발견, 검거해 구속을 집행했다. 임종석은 청량리경찰서에서 약 1시간 동안 조사를 받은 뒤 오전 9시 50분 경 서울 장안동의 서울지방경찰청 공안분실로 인계되었다.","{' 2월 15일', ' 주도', ' 경희대', ' 여의도', ' 지명', ' 축전', ' 곳', '임종석', ' 뒤', ' 인물', ' 시위', ' 사람', ' 것', ' 검거', ' 장소', ' 수배', ' 대표', ' 농민', ' 날', ' 평양', '년', ' 6월 30일', ' 이름', ' 조사', ' 인계', ' 연도', ' 년', ' 혐의', ' 폭력', ' 파견'}"
"""내각과 장관들이 소외되고 대통령비서실의 권한이 너무 크다"", ""행보가 비서 본연의 역할을 벗어난다""는 의견이 제기되었다. 대표적인 예가 10차 개헌안 발표이다. 원로 헌법학자인 허영 경희대 석좌교수는 정부의 헌법개정안 준비 과정에 대해 ""청와대 비서실이 아닌 국무회의 중심으로 이뤄졌어야 했다""고 지적했다. '국무회의의 심의를 거쳐야 한다'(제89조)는 헌법 규정에 충실하지 않았다는 것이다. 그러면서 ""법무부 장관을 제쳐놓고 민정수석이 개정안을 설명하는 게 이해가 안 된다""고 지적했다. 민정수석은 국회의원에 대해 책임지는 법무부 장관도 아니고, 국민에 대해 책임지는 사람도 아니기 때문에 정당성이 없고, 단지 대통령의 신임이 있을 뿐이라는 것이다. 또한 국무총리 선출 방식에 대한 기자의 질문에 ""문 대통령도 취임 전에 국무총리에게 실질적 권한을 주겠다고 했지만 그러지 못하고 있다. 대통령비서실장만도 못한 권한을 행사하고 있다.""고 답변했다.","{' 헌법학자', ' 민정', ' 역할', ' 내각', ' 경희대', ' 지적', ' 심의', ' 좌', ' 본연', ' 제기', ' 소외', ' 의견', '행보', ' 과정', ' 게', ' 중심', '정부', ' 이해', ' 대통령', ' 교수', ' 장관', ' 청와대', ' 대표', ' 수석', ' 예', ' 비서', ' 준비', ' 내용', ' 개정안', ' 비서실', ' 헌법', ' 이름', ' 원로', ' 국무회의', ' 조의', ' 권한', '법무부', '국무회의', ' 설명'}"
"알렉산더 메이그스 헤이그 2세(영어: Alexander Meigs Haig, Jr., 1924년 12월 2일 ~ 2010년 2월 20일)는 미국의 국무 장관을 지낸 미국의 군인, 관료 및 정치인이다. 로널드 레이건 대통령 밑에서 국무장관을 지냈으며, 리처드 닉슨과 제럴드 포드 대통령 밑에서 백악관 비서실장을 지냈다. 또한 그는 미국 군대에서 2번째로 높은 직위인 미국 육군 부참모 총장과 나토 및 미국 군대의 유럽연합군 최고사령관이었다. 한국 전쟁 시절 더글러스 맥아더 유엔군 사령관의 참모로 직접 참전하였으며, 로널드 레이건 정부 출범당시 초대 국무장관직을 맡아 1980년대 대한민국과 미국의 관계를 조율해 왔다. 저서로 회고록 《경고:현실주의, 레이건과 외교 정책》(1984년 발간)이 있다.","{' 발간', ' 밑', ' 군대', ' 일', ' 국무', ' 헤이그', ' 당시', ' 회고록', '로널드 레이건', ' 국무장관', ' 직책', ' 대통령', ' 장관', ' 직위', '알렉산더 헤이그', ' 생년월일', ' 정부', ' 제목', ' 번', ' 알렉산더 헤이그', ' 출범', '알렉산더', ' 년', '미국', ' 로널드 레이건'}"
"노터데임 대학교에서 2년간 합리적으로 심각한 공부를 한 후 헤이그는 1944년 미국 육군사관학교로 임명을 획득하여 자신의 어린 시절을 군사 경력의 야망으로 알아챘다. 그 경력은 헤이그의 학문적 경연이 암시하려고 한것보다 더욱 극적이었으며 그는 1947년 310의 동기병에서 217번째 사관으로서 졸업하였다. 22세의 소위로 헤이그는 처음에 캔자스 주 포트라일리에서 정통 제병 연합부대로, 그러고나서 켄터키 주 포트녹스에 있는 기갑 훈련소로 갔다. 그후에 그는 제1 기병 사단으로 선임되고 그러고나서 일본에서 점령군의 임무와 기력이 없는 훈련을 하였다. 그는 1950년 5월 한번 자신의 사령관 알론조 폭스 장군의 딸 퍼트리샤 앤토이넷 폭스와 결혼하여 슬하 3명의 자식을 두었다.","{' 졸업', ' 부인', ' 제일', ' 처음', ' 임명', ' 자녀', ' 소위', ' 미국 육군사관학교', ' 대학교', ' 헤이그', '육군사관학교', ' 공부', ' 결혼', ' 앤', ' 발령', ' 퍼트리샤', ' 상대', '알렉산더 헤이그', ' 부대', '헤이그', ' 여자', ' 이름', '년', ' 5월', ' 토이', ' 폭스', ' 명', ' 넷', ' 년'}"
"헤이그는 닉슨 대통령이 그를 사성 장군과 육군 부참모로 진급시킬 때 집중 광선과 논쟁으로 들어갔다. 헤이그를 군사의 최상으로 밀어넣은 닉슨의 행동은 대통령의 남자들을 다양한 연방 대리법에서 권한의 직우들로 놓은 노력과 함께 일치였다. 하지만 그는 곧 백악관으로 돌아가 1973년부터 1974년까지 대통령 특별 보좌관을 지냈다. 워터게이트 사건이 일어난지 한달 후, 헤이그는 포위된 닉슨 대통령을 위한 치명적 역할을 하였다. 그일은 8월 닉슨의 사임과 제럴드 포드의 대통령으로 계승으로 이끈 협상들에서 헤이그가 수단이었던 우연이 아니었다. 곧 후에 헤이그는 미국 유럽 연합군 최고사령부의 최고 사령관으로 임명되었다. 그는 나토에서 다음 5년을 보내고 1979년 군에서 퇴역하여 미국 기술 주식 회사의 우두머리가 되었다.","{'제럴드 포드', ' 장군', ' 임명', ' 군대', ' 회사', ' 후', ' 곳', ' 헤이그', ' 년대', ' 나토', ' 참모', ' 대통령', ' 군', ' 진급', ' 시기', ' 최고', ' 대표', '알렉산더 헤이그', ' 사령관', ' 사성', '헤이그', ' 육군', '퇴역', ' 퇴역', ' 사령부'}"
"그의 편에 헤이그는 지구촌의 논점들의 국내적 정치 노력들에 관해서만 근심한 레이건의 가까운 조언자들을 ""외교 정책의 아마추어""로 묘사하였다. 1982년 6월 25일 결국적으로 온 그의 국무장관으로서 사임은 불가능한 상황이 된 것을 끝냈다. 헤이그는 개인적 생활로 돌아갔다가 1988년 대통령 선거를 위한 공화당 후보직을 안정시키는 시도를 하는 데 충분하게 정계로 돌아갔으나 후보직을 이기는 데 성원을 가지지 않았다. 그는 외교 정책 논쟁들에 연설자로서 활동적으로 남아있었으나 그의 전념은 정치에서 개인적 생활로 옮겨졌다. 그는 Worldwide Associates Inc.의 국제적 상담 회사에 의하여 기용되었고, 그 기구의 의장과 회장이 되었다.","{' 국제', ' 이름', ' 조언자', ' 대통령', ' 사적', ' 기용', ' 상담', ' 레이건', ' 회사', ' 년대', '알렉산더 헤이그', '레이건', ' 생활', ' 정계', ' 헤이그', ' 묘사', '헤이그'}"
"노아는 하나님의 명령에 따라 배를 만들고 가족과 정결한 짐승 암수 일곱 마리씩, 부정한 짐승 암수 한 마리씩(혹은 두 마리씩; 사본에 따라 다름), 그리고 새 암수 일곱 마리씩을 싣고 밀어닥친 홍수를 피하였다. 모든 사람들이 타락한 생활에 빠져 있어 하나님이 홍수로 심판하려 할 때 홀로 바르게 살던 노아는 하나님의 특별한 계시로 홍수가 올 것을 미리 알게 된다. 그는 길이 300 규빗, 너비 50 규빗, 높이 30 규빗(고대의 1규빗은 팔꿈치에서 가운데 손가락끝까지의 길이로 약 45~46cm를 가리킴), 상 ·중 ·하 3층으로 된 방주를 만들어 8명의 가족과, 한 쌍씩의 여러 동물을 데리고 이 방주에 탄다. 대홍수를 만나 모든 생물(물고기 제외)이 전멸하고 말았지만, 이 방주에 탔던 노아의 가족과 동물들은 살아 남았다고 한다.〈창세기〉 6장 14~16절에 보면 길이 300규빗 (약 135m), 폭 50 규빗 (약 22.5m), 높이 30 규빗 (약 13.5m)인 이 배는 지붕과 문을 달고 배 안은 3층으로 만들어져 있었다. 선체(船體)는 고페르나무(잣나무)로 되고 안쪽에는 역청(아스팔트와 비슷한 성분)을 칠하여 굳혔다고 기록하고 있다.","{' 명령', ' 구성', ' 환산', ' 동물', ' 얼마', ' 복음서', '노아', ' 발라', ' 재질', ' 홍수', ' 사람', ' 짐승', '노아의 방주', ' 안쪽', ' 것', '하나님', '규', ' 나무', ' 선체', ' 층', ' 빗', ' 미터법', ' 가족', ' 배', ' 기록'}"
"역사학과 과학이 발달하지 않았던 과거 전통 신학계에서는 근본주의적 시각을 받아들여 노아의 방주를 역사적 사실로 기술하려 했으며, 이러한 관점은 아직도 과학과 역사학에 어두운 보수적 근본주의계열의 개신교에서만 받아들여지고 있다. 하지만 역사학과 과학의 발달로 인해, 노아의 방주의 실존에 대한 의문이 제기가 되고, 세계적 홍수가 존재할 수 없음이 밝혀짐에 따라 현대 신학계에서는 비록 노아의 홍수가 과학적으로 실존하지는 않았지만 그 자체의 의미는 신학적으로 매우 중요하며, 이에 대한 해석은 다양하게 이루어지고 있으며, 대부분의 기독교(가톨릭, 개신교를 포함한 대부분)에서는 노아의 방주는 상징적 의미로 받아들여진다. 그러므로 과학과는 상관없이 신학적으로 노아의 방주 자체의 의미는 중요하게 해석된다고 한다","{' 시작', ' 종교', ' 역사', ' 세계', ' 기술', ' 노아의 방주', '현재', ' 상징', ' 근본주의', ' 의미', ' 제기', ' 신학', ' 이유', ' 발달', ' 홍수', '전통', ' 인식', ' 미비', ' 집단', ' 것', ' 대부분', '역사학', ' 사실', ' 실존', ' 때', ' 의문', ' 전통', ' 과학', '현대', ' 학문', ' 기독교', '노아의 방주'}"
"역사학과 과학의 발달이 더뎠던 고대사회에서는, 성경이 단순한 교리적인 부분 뿐 아니라 역사책으로서의 권위도 높았기에 노아의 방주를 역사적인 존재로서 다루고 있었다. 이는 제칠일안식교에서 비롯된 의사과학의 한 종류인 유사지질학인 홍수지질학과 같은 것에 영향을 주었으며, 과거 신학에서는 이러한 근본주의적 해석을 받아들여 역사와 사회적인 모든 부분에 있어 성경을 교과서로 채택할 것을 촉구했다. 이러한 홍수지질학을 주장했던 유사지질학자들은 성경에 나오는 노아의 홍수가 어딘가에 그 흔적이 남아 있을것이라고 주장하며 노아의 방주를 찾기 위한 노력을 했다고 주장한다. 이들은 같은 메소포타미아 지방의 신화인 이슬람교 경전이나 길가메쉬 서사시등의 신화를 들어서 이를 근거라고 주장하기도 했다. 그러나 이러한 전통적 근본주의적 시각은 과거에는 상당히 힘을 얻었으나, 역사학과 과학의 발달에 따라 힘을 잃게 되었고, 홍수지질학은 유사과학으로서 남게 되었다. 현대에는 뒤의 실존논란에서 다루는 것처럼 이러한 근본주의적 해석은 비과학적인 해석으로 여기는 것이 일반적이지만, 남침례교로 대표되는 극보수주의계열 기독교에서는 아직도 이것이 받아들여지고 있다.","{' 교', '일', ' 이자', '유사', ' 권위', ' 뿐', ' 근거', ' 노아의 방주', ' 곳', ' 유사', ' 근본주의', ' 안식', ' 보수주의', ' 상당', ' 발달', ' 홍수', ' 해석', ' 것', ' 이외', ' 책', ' 성경', ' 근원', ' 교리', ' 사회', '역사학', ' 지질학자', ' 주장', '고대', ' 이름', ' 노아', ' 종류', ' 의사과학', ' 과학', '현대', ' 대학', ' 지질학', '극', ' 계열', ' 기독교', ' 증명'}"
"물론 노아의 방주가 신학과 신앙에서 중요한 영향을 차지하는 것은 사실이나, 현재 노아의 방주가 역사적으로 실존한다는 주장은 그 증거가 존재하지 않기에 관련 학계로부터 전혀 인정받지 못하고 있으며 그 실존과 안정성에 대한 수많은 논란이 있다. 한국창조과학회 등에서는 제칠일안식교를 기반으로 한 홍수지질학적 주장들을을 내어 놓고 있지만, 사실과 다른 근거들을 바탕으로 주장하므로 신뢰하기 힘든 것들이 전부라 할 수 있다. 그러므로 현재 노아의 방주가 실존한다는 주장은 그 증거가 존재하지 않기에 관련 학계로부터 전혀 인정받지 못하고 있다. 모든 과학관련 학계에서는 노아의 방주의 구조나 재질등이 실제로 존재할 수 없는 설화속 이야기라는 데에 동의하고 있다.","{' 존재', ' 학계', '한국', ' 역사', ' 지질학', ' 홍수', ' 집단', '노아의 방주', ' 주장', ' 실재'}"
